"","movie_title","color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","genres","actor_1_name","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","plot_keywords","movie_imdb_link","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes","id","imdbID","spanishTitle","imdbPictureURL","year","rtID","rtAllCriticsRating","rtAllCriticsNumReviews","rtAllCriticsNumFresh","rtAllCriticsNumRotten","rtAllCriticsScore","rtTopCriticsRating","rtTopCriticsNumReviews","rtTopCriticsNumFresh","rtTopCriticsNumRotten","rtTopCriticsScore","rtAudienceRating","rtAudienceNumRatings","rtAudienceScore","rtPictureURL"
"1","[Rec]","Color","Jaume BalaguerÃ³",252,78,57,7,"Pablo Rosso",120,NA,"Horror","Manuela Velasco",131462,145,"Carlos Lasarte",0,"apartment building|character's point of view camera shot|fire station|subjective camera|television reporter","http://www.imdb.com/title/tt1038988/?ref_=fn_tt_tt_1",374,"Spanish","Spain","R",1500000,2007,9,7.5,1.85,15000,57274,1038988,"[Rec]","http://ia.media-imdb.com/images/M/MV5BMTcxNzI1NjY1N15BMl5BanBnXkFtZTcwODczOTM2Mg@@._V1._SY314_CR2,0,214,314_.jpg",2007,"10009132-rec","7.8","23","22","1","95","0","1","0","1","0","3.8","30174","77","http://content6.flixster.com/movie/10/52/28/10522876_det.jpg"
"2","10 Things I Hate About You","Color","Gil Junger",133,97,19,835,"Heath Ledger",23000,38176108,"Comedy|Drama|Romance","Joseph Gordon-Levitt",222099,37907,"Andrew Keegan",6,"dating|protective father|school|shrew|teen movie","http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1",549,"English","USA","PG-13",1.6e+07,1999,13000,7.2,1.85,10000,2572,147800,"10 razones para odiarte","http://ia.media-imdb.com/images/M/MV5BMTU0OTA1MzQ1OF5BMl5BanBnXkFtZTcwMzQzNzkxMQ@@._V1._SY314_CR4,0,214,314_.jpg",1999,"","6","58","34","24","58","6.3","12","7","5","58","3.3","207830","69","http://content8.flixster.com/movie/11/15/34/11153458_det.jpg"
"3","102 Dalmatians","Color","Kevin Lima",84,100,36,439,"Eric Idle",2000,66941559,"Adventure|Comedy|Family","Ioan Gruffudd",26413,4182,"Jim Carter",1,"dog|parole|parole officer|prison|puppy","http://www.imdb.com/title/tt0211181/?ref_=fn_tt_tt_1",77,"English","USA","G",8.5e+07,2000,795,4.8,1.85,372,3991,211181,"102 dálmatas","http://ia.media-imdb.com/images/M/MV5BMjE5MjQwOTEyNF5BMl5BanBnXkFtZTcwOTIyNzEzMQ@@._V1._SY314_CR1,0,214,314_.jpg",2000,"102_dalmatians","4.4","89","27","62","30","4.2","27","8","19","29","2.9","17460","44","http://content8.flixster.com/movie/10/86/73/10867358_det.jpg"
"4","10th & Wolf","Color","Robert Moresco",26,107,53,463,"Brad Renfro",954,53481,"Crime|Drama|Thriller","Brian Dennehy",5557,2512,"Dash Mihok",5,"desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker","http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1",34,"English","USA","R",8e+06,2006,551,6.4,2.35,294,55391,360323,"10th & Wolf","http://ia.media-imdb.com/images/M/MV5BMjE1NDE0Nzk3MV5BMl5BanBnXkFtZTcwMjE3ODQzMQ@@._V1._SY314_CR2,0,214,314_.jpg",2006,"10th_and_wolf","4","27","5","22","18","3.5","10","1","9","10","3.1","9910","44","http://content7.flixster.com/movie/21/37/16/2137169_det.jpg"
"5","11:14","Color","Greg Marcks",68,85,9,407,"Barbara Hershey",861,NA,"Comedy|Crime|Drama","Henry Thomas",38273,2200,"Shawn Hatosy",1,"convenience store|multiple perspectives|murder|paramedic|van","http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1",133,"English","USA","R",6e+06,2003,618,7.2,1.85,0,27674,331811,"11:14","http://ia.media-imdb.com/images/M/MV5BMjEwODEyOTIyOF5BMl5BanBnXkFtZTcwNzQ4NjEzMQ@@._V1._SY314_CR0,0,214,314_.jpg",2003,"1114","6.8","11","11","0","100","0","1","1","0","100","3.6","6342","75","http://content8.flixster.com/movie/58/27/59/5827590_det.jpg"
"6","12 Angry Men"," Black and White","Sidney Lumet",177,96,0,253,"Lee J. Cobb",359,NA,"Crime|Drama","Jack Warden",447785,1433,"John Fiedler",1,"courtroom|dialogue driven|dialogue driven storyline|jury|murder","http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1",888,"English","USA","Not Rated",350000,1957,259,8.9,1.66,40000,1203,50083,"12 hombres sin piedad","http://ia.media-imdb.com/images/M/MV5BMTQzNTEwNzg1OF5BMl5BanBnXkFtZTcwNjc5MjE3Mw@@._V1._SX214_CR0,0,214,314_.jpg",1957,"1000013-12_angry_men","8.8","36","36","0","100","0","4","4","0","100","4.1","22784","95","http://content8.flixster.com/movie/10/88/47/10884742_det.jpg"
"7","13 Going on 30","Color","Gary Winick",119,98,56,533,"Judy Greer",3000,56044241,"Comedy|Fantasy|Romance","Jennifer Garner",122187,6742,"Christa B. Allen",1,"13 year old|13th birthday|30 year old|wish|year 1987","http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1",339,"English","USA","PG-13",3.7e+07,2004,2000,6.1,1.85,0,7444,337563,"El sueño de mi vida","http://ia.media-imdb.com/images/M/MV5BMjA1MTI3ODEwNF5BMl5BanBnXkFtZTcwOTA4NDUyMQ@@._V1._SY314_CR4,0,214,314_.jpg",2004,"13_going_on_30","6.2","161","104","57","64","6.6","35","26","9","74","3.3","96034","70","http://content6.flixster.com/movie/10/93/55/10935508_det.jpg"
"8","1408","Color","Mikael HÃ¥fstrÃ¶m",314,114,101,23,"Kim Thomson",129,71975611,"Fantasy|Horror","Drew Powell",209396,214,"Alexandra Silber",0,"book|debunking|evil|hotel|paranormal phenomena","http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1",580,"English","USA","PG-13",2.5e+07,2007,25,6.8,2.35,11000,53953,450385,"1408","http://ia.media-imdb.com/images/M/MV5BMTk1MDg0NTU0OV5BMl5BanBnXkFtZTcwMTM1NDk0MQ@@._V1._SX214_CR0,0,214,314_.jpg",2007,"1408","6.7","165","129","36","78","6.7","32","25","7","78","3.4","349462","61","http://content9.flixster.com/movie/85/59/06/8559063_det.jpg"
"9","15 Minutes","Color","John Herzfeld",151,120,17,808,"Charlize Theron",22000,24375436,"Action|Crime|Drama|Thriller","Robert De Niro",42547,33585,"Kelsey Grammer",1,"criminal|detective|fire|homicide|media","http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1",265,"English","USA","R",4.2e+07,2001,9000,6.1,2.35,748,4167,179626,"15 minutos","http://ia.media-imdb.com/images/M/MV5BMTM0MzM1NDIyM15BMl5BanBnXkFtZTcwNDk3MjgxMQ@@._V1._SX214_CR0,0,214,314_.jpg",2001,"","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"10","16 Blocks","Color","Richard Donner",199,102,503,795,"David Zayas",13000,36883539,"Action|Crime|Drama|Thriller","Bruce Willis",112769,15053,"Sasha Roiz",2,"alcoholic|courthouse|detective|jail|witness","http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1",305,"English","Germany","PG-13",5.2e+07,2006,929,6.6,2.35,0,43936,450232,"16 calles","http://ia.media-imdb.com/images/M/MV5BODcyNjY3NTY3Nl5BMl5BanBnXkFtZTcwNjM4MTEzMw@@._V1._SX214_CR0,0,214,314_.jpg",2006,"16_blocks","5.9","157","87","70","55","5.8","35","18","17","51","3.2","31478","60","http://content6.flixster.com/movie/31/28/312808_det.jpg"
